,instance,height,time,solution type
ins-1,1,8,0.6120879650115967,optimal
ins-2,2,9,0.9389572143554688,optimal
ins-3,3,10,2.2333247661590576,optimal
ins-4,4,11,3.3301172256469727,optimal
ins-5,5,12,5.2147979736328125,optimal
ins-6,6,13,8.899679899215698,optimal
ins-7,7,14,11.0262348651886,optimal
ins-8,8,15,15.342939138412476,optimal
ins-9,9,16,20.61233878135681,optimal
ins-10,10,17,37.2114794254303,optimal
ins-11,11,18,141.0653018951416,optimal
ins-12,12,19,65.16119813919067,optimal
ins-13,13,20,82.11256790161133,optimal
ins-14,14,21,100.6781404018402,optimal
ins-15,15,22,230.891765832901,optimal
ins-16,16,23,208.3522927761078,optimal
ins-17,17,24,259.1943597793579,optimal
ins-18,18,25,254.41969084739685,optimal
ins-19,19,0,300.0,N|A
ins-20,20,0,300.0,N|A
