,instance,height,time,solution type
ins-1,1,8,0.3623874187469482,optimal
ins-2,2,9,0.4546527862548828,optimal
ins-3,3,10,0.5274801254272461,optimal
ins-4,4,11,0.6034655570983887,optimal
ins-5,5,12,1.05401873588562,optimal
ins-6,6,13,0.9666404724121094,optimal
ins-7,7,14,1.2729768753051758,optimal
ins-8,8,15,2.005056858062744,optimal
ins-9,9,16,2.434995174407959,optimal
ins-10,10,17,3.832724332809448,optimal
ins-11,11,18,15.800994396209717,optimal
ins-12,12,19,9.401496171951294,optimal
ins-13,13,20,8.356411218643188,optimal
ins-14,14,21,19.33775782585144,optimal
ins-15,15,22,28.22096538543701,optimal
ins-16,16,23,87.6536796092987,optimal
ins-17,17,24,41.44673705101013,optimal
ins-18,18,26,298.0371780395508,optimal
ins-19,19,27,296.2394781112671,optimal
ins-20,20,28,292.45642614364624,optimal
ins-21,21,29,37931.56077623367,non-optimal
ins-22,22,30,12121.737298250198,non-optimal
ins-23,23,31,301.0598666667938,non-optimal
ins-24,24,31,29.393787384033203,optimal
ins-25,25,33,297.63566160202026,optimal
ins-26,26,33,91.09438824653624,optimal
ins-27,27,34,131.64843201637268,optimal
ins-28,28,36,287.49627709388733,optimal
ins-29,29,36,91.19167637825012,optimal
ins-30,30,38,296.1469898223877,optimal
ins-31,31,38,52.50289845466614,optimal
ins-32,32,40,287.36776423454285,optimal
ins-33,33,40,58.719566106796265,optimal
ins-34,34,40,63.71757864952088,optimal
ins-35,35,40,39.56582260131836,optimal
ins-36,36,40,32.82409954071045,optimal
ins-37,37,61,279.9666376113892,optimal
ins-38,38,61,290.01941108703613,optimal
ins-39,39,-,-1.0,N|A
ins-40,40,-,-1.0,N|A
