,instance,height,time,solution type
ins-1,1,8,0.0325422286987304,optimal
ins-2,2,9,0.0435919761657714,optimal
ins-3,3,10,0.0526208877563476,optimal
ins-4,4,11,0.0785996913909912,optimal
ins-5,5,12,0.1281530857086181,optimal
ins-6,6,13,0.126042366027832,optimal
ins-7,7,14,0.1140370368957519,optimal
ins-8,8,15,0.1488239765167236,optimal
ins-9,9,16,0.1333849430084228,optimal
ins-10,10,17,0.2522072792053222,optimal
ins-11,11,18,3.1909196376800537,optimal
ins-12,12,19,0.5103435516357422,optimal
ins-13,13,20,0.4856548309326172,optimal
ins-14,14,21,0.4526841640472412,optimal
ins-15,15,22,0.3552825450897217,optimal
ins-16,16,23,12.571328401565552,optimal
ins-17,17,24,1.6806042194366455,optimal
ins-18,18,25,3.998694658279419,optimal
ins-19,19,26,14.69871997833252,optimal
ins-20,20,27,10.10303831100464,optimal
ins-21,21,28,26.54339504241944,optimal
ins-22,22,29,300.0,UNSAT
ins-23,23,30,15.078406810760498,optimal
ins-24,24,31,2.0943350791931152,optimal
ins-25,25,32,169.50274348258972,optimal
ins-26,26,33,29.61915636062622,optimal
ins-27,27,34,16.182894706726074,optimal
ins-28,28,35,1.8096232414245603,optimal
ins-29,29,36,18.67311191558838,optimal
ins-30,30,37,300.0,UNSAT
ins-31,31,38,1.3225486278533936,optimal
ins-32,32,39,300.0,UNSAT
ins-33,33,40,4.7818591594696045,optimal
ins-34,34,40,300.0,UNSAT
ins-35,35,40,30.01959156990052,optimal
ins-36,36,40,83.9796998500824,optimal
ins-37,37,60,300.0,UNSAT
ins-38,38,60,300.0,UNSAT
ins-39,39,60,300.0,UNSAT
ins-40,40,90,300.0,UNSAT
