,instance,height,time,solution type
ins-1,1,8,0.0498988628387451,optimal
ins-2,2,9,0.0596375465393066,optimal
ins-3,3,10,0.0992522239685058,optimal
ins-4,4,11,0.134939432144165,optimal
ins-5,5,12,0.2597599029541015,optimal
ins-6,6,13,0.3280003070831299,optimal
ins-7,7,14,0.3162350654602051,optimal
ins-8,8,15,0.4713802337646484,optimal
ins-9,9,16,0.5383007526397705,optimal
ins-10,10,17,3.609792709350586,optimal
ins-11,11,18,90.364910364151,optimal
ins-12,12,19,64.36147737503052,optimal
ins-13,13,20,10.99890112876892,optimal
ins-14,14,21,12.177313566207886,optimal
ins-15,15,22,61.44179034233093,optimal
ins-16,16,23,300.0,UNSAT
ins-17,17,24,20.371985912323,optimal
ins-18,18,25,71.45882534980774,optimal
ins-19,19,26,300.0,UNSAT
ins-20,20,27,300.0,UNSAT
ins-21,21,28,300.0,UNSAT
ins-22,22,29,300.0,UNSAT
ins-23,23,30,300.0,UNSAT
ins-24,24,31,65.58290481567383,optimal
ins-25,25,32,300.0,UNSAT
ins-26,26,33,300.0,UNSAT
ins-27,27,34,300.0,UNSAT
ins-28,28,-,-1.0,N|A
ins-29,29,-,-1.0,N|A
ins-30,30,-,-1.0,N|A
ins-31,31,-,-1.0,N|A
ins-32,32,-,-1.0,N|A
ins-33,33,-,-1.0,N|A
ins-34,34,-,-1.0,N|A
ins-35,35,-,-1.0,N|A
ins-36,36,-,-1.0,N|A
ins-37,37,-,-1.0,N|A
ins-38,38,-,-1.0,N|A
ins-39,39,-,-1.0,N|A
ins-40,40,-,-1.0,N|A
